iter	Passed	Remaining
432	1569	2055
433	1575	2054
434	1579	2052
435	1583	2047
436	1586	2044
437	1591	2042
438	1595	2038
439	1598	2034
440	1600	2029
441	1603	2024
442	1607	2021
443	1610	2017
444	1613	2012
445	1616	2007
446	1618	2002
447	1627	2005
448	1630	2000
449	1632	1995
450	1634	1990
451	1639	1987
452	1645	1987
453	1648	1982
454	1651	1977
455	1656	1975
456	1660	1972
457	1662	1967
458	1665	1963
459	1668	1958
460	1673	1956
461	1676	1952
462	1679	1948
463	1683	1944
464	1688	1942
465	1692	1938
466	1695	1935
467	1698	1931
468	1704	1929
469	1707	1925
470	1711	1922
471	1714	1918
472	1718	1915
473	1722	1911
474	1725	1906
475	1728	1902
476	1730	1897
477	1734	1894
478	1738	1890
479	1740	1885
480	1743	1881
481	1745	1876
482	1748	1871
483	1752	1868
484	1755	1863
485	1757	1858
486	1759	1853
487	1762	1848
488	1765	1844
489	1769	1841
490	1772	1836
491	1774	1832
492	1778	1828
493	1781	1824
494	1785	1821
495	1788	1817
496	1791	1813
497	1794	1809
498	1798	1806
499	1802	1802
500	1805	1798
501	1809	1795
502	1813	1791
503	1817	1788
504	1820	1784
505	1824	1781
506	1828	1778
507	1832	1775
508	1836	1771
509	1840	1768
510	1844	1764
511	1849	1762
512	1852	1758
513	1856	1755
514	1860	1752
515	1865	1749
516	1877	1753
517	1885	1754
518	1888	1750
519	1892	1746
520	1897	1744
521	1901	1741
522	1904	1737
523	1907	1732
524	1911	1729
525	1914	1725
526	1919	1722
527	1923	1719
528	1927	1715
529	1931	1712
530	1933	1707
531	1936	1703
532	1938	1698
533	1941	1694
534	1946	1692
535	1949	1687
536	1951	1682
537	1954	1678
538	1956	1673
539	1959	1669
540	1963	1665
541	1965	1660
542	1967	1656
543	1970	1651
544	1972	1646
545	1975	1642
546	1978	1638
547	1981	1634
548	1983	1629
549	1985	1624
550	1988	1620
551	1991	1615
552	1995	1612
553	1997	1608
554	1999	1603
555	2002	1598
556	2004	1594
557	2007	1589
558	2014	1588
559	2016	1584
560	2019	1580
561	2021	1575
562	2025	1572
563	2029	1568
564	2032	1564
565	2034	1560
566	2037	1555
567	2041	1552
568	2045	1549
569	2048	1545
570	2050	1540
571	2053	1536
572	2057	1533
573	2061	1530
574	2065	1526
575	2067	1522
576	2070	1518
577	2075	1515
578	2079	1511
579	2081	1507
580	2084	1503
581	2088	1499
582	2093	1497
583	2096	1493
584	2099	1489
585	2102	1485
586	2106	1482
587	2110	1478
588	2113	1474
589	2116	1470
590	2119	1466
591	2139	1474
592	2143	1471
593	2148	1468
594	2156	1467
595	2162	1465
596	2167	1462
597	2172	1460
598	2176	1457
599	2181	1454
600	2186	1451
601	2191	1448
602	2195	1445
603	2202	1444
604	2207	1441
605	2212	1438
606	2218	1436
607	2222	1433
608	2227	1430
609	2232	1427
610	2236	1423
611	2240	1420
612	2244	1416
613	2248	1413
614	2253	1410
615	2256	1406
616	2260	1403
617	2263	1399
618	2267	1395
619	2270	1391
620	2274	1388
621	2277	1384
622	2281	1380
623	2285	1377
624	2288	1373
625	2291	1369
626	2294	1365
627	2298	1361
628	2301	1357
629	2303	1353
630	2306	1348
631	2309	1344
632	2311	1340
633	2315	1336
634	2318	1332
635	2320	1328
636	2322	1323
637	2325	1319
638	2327	1314
639	2331	1311
640	2333	1307
641	2335	1302
642	2338	1298
643	2340	1293
644	2342	1289
645	2346	1285
646	2349	1281
647	2351	1277
648	2353	1273
649	2356	1268
650	2359	1264
651	2362	1261
652	2365	1257
653	2368	1252
654	2371	1249
655	2374	1245
656	2379	1242
657	2382	1238
658	2386	1234
659	2389	1231
660	2393	1227
661	2398	1224
662	2401	1220
663	2405	1217
664	2409	1213
665	2413	1210
666	2418	1207
667	2421	1203
668	2424	1199
669	2429	1196
670	2434	1193
671	2437	1189
672	2441	1186
673	2445	1182
674	2448	1179
675	2451	1175
676	2454	1171
677	2458	1167
678	2462	1164
679	2466	1160
680	2468	1156
681	2471	1152
682	2475	1148
683	2479	1145
684	2482	1141
685	2484	1137
686	2487	1133
687	2492	1130
688	2496	1126
689	2499	1122
690	2501	1118
691	2504	1114
692	2510	1112
693	2513	1108
694	2516	1104
695	2518	1100
696	2521	1096
697	2526	1093
698	2530	1089
699	2532	1085
700	2535	1081
701	2540	1078
702	2543	1074
703	2546	1070
704	2549	1066
705	2552	1063
706	2557	1059
707	2560	1055
708	2562	1051
709	2565	1047
710	2567	1043
711	2571	1040
712	2574	1036
713	2577	1032
714	2579	1028
715	2581	1024
716	2584	1020
717	2588	1016
718	2591	1012
719	2593	1008
720	2595	1004
721	2598	1000
722	2600	996
723	2604	992
724	2607	988
725	2609	984
726	2611	980
727	2614	976
728	2616	972
729	2620	969
730	2622	965
731	2625	961
732	2627	957
733	2630	953
734	2634	949
735	2637	945
736	2639	942
737	2642	938
738	2645	934
739	2647	930
740	2651	926
741	2654	922
742	2657	919
743	2660	915
744	2663	911
745	2667	908
746	2671	904
747	2674	901
748	2678	897
749	2683	894
750	2686	890
751	2689	887
752	2692	883
753	2695	879
754	2699	876
755	2702	872
756	2705	868
757	2709	864
758	2712	861
759	2716	857
760	2720	854
761	2723	850
762	2727	847
763	2732	844
764	2735	840
765	2739	836
766	2743	833
767	2747	830
768	2751	826
769	2754	822
770	2758	819
771	2764	816
772	2768	812
773	2771	809
774	2774	805
775	2778	801
776	2781	798
777	2784	794
778	2787	790
779	2789	786
780	2791	782
781	2794	779
782	2797	775
783	2800	771
784	2802	767
785	2805	763
786	2807	759
787	2810	756
788	2814	752
789	2817	748
790	2819	745
791	2823	741
792	2826	737
793	2829	734
794	2832	730
795	2835	726
796	2838	722
797	2840	719
798	2844	715
799	2847	711
800	2851	708
801	2854	704
802	2858	701
803	2862	697
804	2867	694
805	2870	691
806	2875	687
807	2879	684
808	2883	680
809	2886	677
810	2890	673
811	2896	670
812	2899	666
813	2903	663
814	2907	659
815	2911	656
816	2915	652
817	2917	649
818	2920	645
819	2924	641
820	2928	638
821	2931	634
822	2934	631
823	2936	627
824	2939	623
825	2944	620
826	2947	616
827	2950	612
828	2952	609
829	2955	605
830	2960	602
831	2963	598
832	2966	594
833	2969	590
834	2972	587
835	2976	583
836	2979	580
837	2982	576
838	2984	572
839	2988	569
840	2992	565
841	2995	562
842	2997	558
843	3000	554
844	3002	550
845	3007	547
846	3009	543
847	3012	539
848	3015	536
849	3017	532
850	3021	529
851	3024	525
852	3027	521
853	3029	517
854	3032	514
855	3034	510
856	3038	507
857	3041	503
858	3043	499
859	3046	495
860	3048	492
861	3051	488
862	3054	484
863	3057	481
864	3059	477
865	3062	473
866	3064	470
867	3067	466
868	3071	462
869	3073	459
870	3075	455
871	3078	451
872	3080	448
873	3083	444
874	3086	440
875	3089	437
876	3091	433
877	3093	429
878	3096	426
879	3098	422
880	3102	419
881	3104	415
882	3106	411
883	3109	407
884	3111	404
885	3113	400
886	3116	397
887	3119	393
888	3122	389
889	3124	386
890	3127	382
891	3130	379
892	3134	375
893	3137	372
894	3141	368
895	3144	364
896	3147	361
897	3152	358
898	3155	354
899	3158	350
900	3161	347
901	3166	344
902	3169	340
903	3173	337
904	3177	333
905	3181	330
906	3185	326
907	3188	323
908	3192	319
909	3195	316
910	3199	312
911	3203	309
912	3207	305
913	3210	302
914	3215	298
915	3219	295
916	3223	291
917	3226	288
918	3230	284
919	3233	281
920	3236	277
921	3239	274
922	3242	270
923	3245	266
924	3249	263
925	3252	259
926	3256	256
927	3259	252
928	3265	249
929	3268	246
930	3272	242
931	3275	239
932	3279	235
933	3283	232
934	3286	228
935	3290	224
936	3294	221
937	3298	218
938	3302	214
939	3306	211
940	3310	207
941	3314	204
942	3318	200
943	3322	197
944	3326	193
945	3330	190
946	3334	186
947	3338	183
948	3341	179
949	3346	176
950	3349	172
951	3353	169
952	3356	165
953	3360	162
954	3364	158
955	3367	154
956	3370	151
957	3374	147
958	3378	144
959	3382	140
960	3385	137
961	3388	133
962	3392	130
963	3396	126
964	3399	123
965	3402	119
966	3406	116
967	3410	112
968	3414	109
969	3417	105
970	3421	102
971	3425	98
972	3429	95
973	3432	91
974	3436	88
975	3440	84
976	3444	81
977	3447	77
978	3451	74
979	3456	70
980	3459	67
981	3462	63
982	3466	59
983	3470	56
984	3474	52
985	3477	49
986	3480	45
987	3483	42
988	3489	38
989	3492	35
990	3496	31
991	3499	28
992	3503	24
993	3507	21
994	3511	17
995	3514	14
996	3519	10
997	3522	7
998	3526	3
999	3530	0
