iter	RMSE
146	55134.88768
147	55109.4033
148	55098.04787
149	55087.31996
150	55077.10314
151	55059.92416
152	55037.60879
153	55021.26884
154	55007.05346
155	54992.5728
156	54980.90705
157	54967.24382
158	54954.06371
159	54944.52989
160	54930.69648
161	54913.44769
162	54901.78535
163	54887.98156
164	54874.07627
165	54857.703
166	54844.05731
167	54819.86959
168	54811.04302
169	54800.22819
170	54787.72437
171	54776.83317
172	54757.29211
173	54736.44299
174	54724.76691
175	54706.72955
176	54688.67734
177	54672.49157
178	54652.32883
179	54634.309
180	54613.79841
181	54601.16474
182	54581.50273
183	54564.02351
184	54553.43615
185	54535.275
186	54515.28013
187	54498.17442
188	54487.14943
189	54479.99206
190	54467.05307
191	54455.97974
192	54439.11158
193	54422.41296
194	54410.23097
195	54397.92715
196	54383.75826
197	54374.60754
198	54360.00243
199	54346.59564
200	54328.008
201	54325.88535
202	54309.26049
203	54293.93607
204	54272.7909
205	54267.68064
206	54255.21995
207	54237.59387
208	54218.05144
209	54206.96019
210	54189.35549
211	54172.32052
212	54158.12335
213	54148.62872
214	54144.57634
215	54135.45445
216	54120.49661
217	54101.87527
218	54084.27858
219	54064.4341
220	54052.88482
221	54041.9107
222	54028.64603
223	54011.80568
224	53998.37018
225	53986.14994
226	53961.02169
227	53949.99185
228	53939.83732
229	53935.72469
230	53920.52154
231	53911.95876
232	53894.11715
233	53888.693
234	53872.25802
235	53861.70295
236	53846.31292
237	53834.13585
238	53816.11272
239	53800.82116
240	53791.18665
241	53776.76747
242	53760.94373
243	53743.16271
244	53735.23365
245	53729.81358
246	53714.64308
247	53696.87763
248	53678.32109
249	53673.36031
250	53659.23124
251	53646.32912
252	53631.51026
253	53615.31172
254	53599.51683
255	53582.06395
256	53572.07257
257	53561.42484
258	53542.48294
259	53529.47974
260	53512.4148
261	53500.09662
262	53489.18802
263	53485.95918
264	53471.73474
265	53459.05275
266	53454.82126
267	53434.28377
268	53418.43319
269	53403.11405
270	53392.76042
271	53390.44954
272	53376.92512
273	53359.4345
274	53344.56477
275	53333.67209
276	53325.87018
277	53311.73089
278	53297.66713
279	53280.12029
280	53267.2814
281	53253.08487
282	53241.57885
283	53224.07099
284	53209.84683
285	53195.0296
286	53182.80172
287	53165.51595
288	53150.89703
289	53139.44321
290	53123.18193
291	53107.08306
292	53093.71267
293	53074.31772
294	53063.55375
295	53048.13418
296	53034.27533
297	53025.59185
298	53003.63384
299	52992.4889
300	52977.25756
301	52972.73543
302	52952.36897
303	52949.12737
304	52939.55517
305	52928.11946
306	52918.25115
307	52901.1922
308	52885.92121
309	52872.31309
310	52862.87748
311	52849.31849
312	52832.21871
313	52826.94636
314	52811.77268
315	52796.78208
316	52783.14738
317	52774.42706
318	52759.83418
319	52748.13618
320	52726.55628
321	52717.54978
322	52700.669
323	52679.05687
324	52667.54109
325	52657.91424
326	52638.0485
327	52627.27082
328	52614.65472
329	52602.3014
330	52589.38468
331	52577.32058
332	52563.70996
333	52551.86904
334	52537.2365
335	52518.72664
336	52505.63932
337	52492.40604
338	52485.02933
339	52467.01385
340	52453.76605
341	52444.25014
342	52431.95954
343	52413.21481
344	52401.28551
345	52385.74615
346	52378.98626
347	52364.21756
348	52349.87944
349	52340.29793
350	52324.35136
351	52311.22567
352	52298.6201
353	52286.43475
354	52266.73646
355	52250.64946
356	52237.15029
357	52222.63614
358	52208.51923
359	52196.12083
360	52180.67125
361	52172.81937
362	52158.29352
363	52140.40042
364	52128.4065
365	52116.50474
366	52110.86304
367	52096.35703
368	52088.8323
369	52072.96658
370	52060.55882
371	52049.04305
372	52038.9291
373	52030.77367
374	52025.81322
375	52018.99245
376	51992.08088
377	51974.35409
378	51960.17935
379	51947.74438
380	51938.77177
